title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
미즈노 모렐리아 네오 IV 베타  ,339000,269000,"캥거루, 인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",2.0,2.0,190,https://www.crazy11.co.kr/shopimages/winv007/001002001004.jpg?1714610267,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806293&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=Z2t3Uw%3D%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV 베타 MD  ,339000,275000,"캥거루, 인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",2.0,2.0,190,https://www.crazy11.co.kr/shopimages/winv007/001002001055.jpg?1736145085,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809109&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=bm94W11H,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV 베타 엘리트 MD ,269000,215000,"캥거루, 인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",3.0,2.0,186,https://www.crazy11.co.kr/shopimages/winv007/001002001057.jpg?1736145164,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809111&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=Z2l3UF0%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV 엘리트 MD ,239000,185000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",3.0,2.0,189,https://www.crazy11.co.kr/shopimages/winv007/001002001058.jpg?1736144998,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809112&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=bmx8W11E,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV 프로 AG ,169000,134000,"캥거루, 인조가죽","천연잔디, 인조잔디",2.0,2.0,221,https://www.crazy11.co.kr/shopimages/winv007/001002001062.jpg?1736929991,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809191&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=a2h3Ul8%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV 프로 MD ,169000,135000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",2.0,2.0,224,https://www.crazy11.co.kr/shopimages/winv007/001002001060.jpg?1736148230,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809136&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=bml8W1Q%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 알파 II JP  ,309000,245000,합성가죽,천연잔디,2.0,4.0,158,https://www.crazy11.co.kr/shopimages/winv007/001002001068.jpg?1739257303,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809472&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bmt0W1Q%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 JP  ,309000,259000,합성가죽,"천연잔디, 인조잔디, 맨땅",2.0,4.0,180,https://www.crazy11.co.kr/shopimages/winv007/001002001027.jpg?1733717941,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807706&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=aGd3Uls%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 셀렉트 MD ,119000,85000,인조가죽,"천연잔디, 인조잔디",3.0,2.0,215,https://www.crazy11.co.kr/shopimages/winv007/001002001025.jpg?1733717958,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807573&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bmt9W18%3D,알파,mizuno,alpha,알파,FW, MF,,speed
아디다스 F50 리그 AG 2G3G ,109000,75000,"인조가죽, 합성가죽",인조잔디,3.0,3.0,236,https://www.crazy11.co.kr/shopimages/winv007/001005003198.jpg?1733717909,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808414&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm95W19E,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 FGMG ,119000,77000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,209,https://www.crazy11.co.kr/shopimages/winv007/001005003190.jpg?1733717907,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808379&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bWl3UlQ%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 FGMG 메시 ,129000,84000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,209,https://www.crazy11.co.kr/shopimages/winv007/001005003204.jpg?1733717903,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808578&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aWp3UF8%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 LL FGMG ,129000,89000,합성가죽,"천연잔디, 인조잔디, 맨땅",4.0,3.0,198,https://www.crazy11.co.kr/shopimages/winv007/001005003187.jpg?1733717917,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808353&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=Zmx3UA%3D%3D,F50,adidas,F50,F50,FW, MF,,speed
